Date,Description,Original Description,Amount,Transaction Type,Category,Account Name
3/24/2017,Advance Mw Lansing,Credit Card Advance MW*LANSING BWL 517-702-6006 MIDate 03/23/17 24445007083000828895365 4900Card #7391,92.04,debit,Bills & Utilities,50 Platinum Visa
3/24/2017,Chipotle,Credit Card Advance CHIPOTLE 0779 EAST LANSING MIDate 03/23/17 24431067083206188002753 5814Card #7391,7.95,debit,Fast Food,50 Platinum Visa
3/25/2017,Transfer to 50 Platinum Visa,Home Banking Withdrawal To Loan 50,339.78,debit,Credit Card Payment,28 Insured Money Management Acct
3/26/2017,Advance Compost Katie,Credit Card Advance COMPOST KATIE LLC 517-575-1522 MIDate 03/25/17 24765017085200000031016 4900Card #7391,15,debit,Business Services,50 Platinum Visa
3/28/2017,Pizza House,Credit Card Advance PIZZA HOUSE - EAST LANS 734-564-1012 MIDate 03/27/17 24269797087100263946676 5812Card #7391,16.72,debit,Restaurants,50 Platinum Visa
3/29/2017,Home Banking Withdrawal,Home Banking Withdrawal To Share 28,679.96,debit,Transfer,20 Datta Tuition
3/29/2017,Home,Home Banking Withdrawal To Share 28,679.96,debit,Home Improvement,20 Datta Tuition
3/29/2017,Home Banking Withdrawal,Home Banking Withdrawal To Share 28,679.96,debit,Auto Payment,20 Datta Tuition
3/29/2017,Transfer to 88 Totally Green Checking,Home Banking Withdrawal To Share 88,200,debit,Transfer,28 Insured Money Management Acct
3/29/2017,Transfer to 28 Insured Money Management Acct,Home Banking Withdrawal To Share 28,679.96,debit,Transfer,20 Datta Tuition
3/29/2017,Transfer Checking,Transfer To CHECKING 1348,150,debit,Transfer,Discover Savings
3/29/2017,Transfer to 50 Platinum Visa,Home Banking Withdrawal To Loan 50,31.72,debit,Credit Card Payment,88 Totally Green Checking
3/30/2017,Discover Banktype Trialdebit,ACH Withdrawal DISCOVER BANKTYPE: TRIALDEBIT ID: XXXXXXXXXXCO: DISCOVER BANK,0.76,debit,Credit Card Payment,28 Insured Money Management Acct
3/30/2017,Vanguard,ACH Withdrawal VANGUARD BUYTYPE: INVESTMENT ID: VMC PURCO: VANGUARD BUY,75,debit,Roth IRA contributio,88 Totally Green Checking
4/1/2017,Transfer to 88 Totally Green Checking,Withdrawal To Share 88,250,debit,Transfer,28 Insured Money Management Acct
4/1/2017,Culinart,Credit Card Advance CULINARY- AKERS EAST LANSING MIDate 03/31/17 24435657091200854300140 8220Card #7391,9.99,debit,Fast Food,50 Platinum Visa
4/2/2017,Advance,Credit Card Advance 911PEPSIVEN9147678600 LANSING MIDate 04/01/17 24692167092000305587163 5814Card #7391,2.25,debit,Business Services,50 Platinum Visa
4/3/2017,Vanguard,ACH Withdrawal VANGUARD,0.52,debit,Financial,Discover Savings
4/3/2017,Advance Bens Soft,Credit Card Advance BENS SOFT PRETZELS 6 616-2885656 MIDate 04/02/17 24744557093141211377320 5814Card #7391,9.92,debit,Business Services,50 Platinum Visa
4/3/2017,Discover Banktype Net,ACH Withdrawal DISCOVER BANKTYPE: NET/MOBILE ID: XXXXXXXXXXCO: DISCOVER BANK,1000,debit,Credit Card Payment,28 Insured Money Management Acct
4/3/2017,Starbucks,Credit Card Advance STARBUCKS STORE 17354 KENTWOOD MIDate 04/03/17 24692167093000121849754 5814Card #7391,9.75,debit,Coffee Shops,50 Platinum Visa
4/4/2017,McDonald's,Credit Card Advance MCDONALD'S M6550 OF MI EAST LANSING MIDate 04/04/17 24427337094710036769976 5814Card #7391,7.93,debit,Fast Food,50 Platinum Visa
4/4/2017,Marathon,Credit Card Advance MARATHON PETRO EAST LANSING MIDate 04/04/17 24299107094000544372667 5542Card #7391,42.27,debit,Gas & Fuel,50 Platinum Visa
4/4/2017,Discovertype E Id,ACH Withdrawal DISCOVERTYPE: E-PAYMENT ID: XXXXXXXXXXCO: DISCOVER,230.94,debit,Credit Card Payment,88 Totally Green Checking
4/4/2017,Advance,Credit Card Advance SPARTY'S HUBBARD EAST LANSING MIDate 04/03/17 24435657094200057200771 8220Card #7391,6.87,debit,Business Services,50 Platinum Visa
4/5/2017,Steam Games,Credit Card Advance STEAMGAMES.COM425952298 425-9522985 WADate 04/05/17 24412897095700423248584 7994Card #7391,3.23,debit,Entertainment,50 Platinum Visa
4/6/2017,Advance,Credit Card Advance SPARTY'S HUBBARD EAST LANSING MIDate 04/05/17 24435657096200732100659 8220Card #7391,5.29,debit,Business Services,50 Platinum Visa
4/7/2017,Qdoba Mexican Grill,Credit Card Advance QDOBA - 67 ATLANTA GADate 04/06/17 24269797097500641063003 5814Card #7391,11.11,debit,Fast Food,50 Platinum Visa
4/7/2017,Uber.com,Credit Card Advance UBER APR06 BZULI HELP.UBER.COM CADate 04/06/17 24492157096719582013432 4121Card #7391,19.42,debit,Rental Car & Taxi,50 Platinum Visa
4/8/2017,American Airlines,Credit Card Advance AMERICAN AIR00121229834 FORT WORTH TXDate 04/07/17 24431067098978000598837 3001Card #7391,547.3,debit,Air Travel,50 Platinum Visa
4/8/2017,Uber.com,Credit Card Advance UBER APR07 HRZ54 HELP.UBER.COM CADate 04/07/17 24492157097719603739865 4121Card #7391,19.53,debit,Rental Car & Taxi,50 Platinum Visa
4/8/2017,Uber.com,Credit Card Advance UBER APR07 M3XUF HELP.UBER.COM CADate 04/07/17 24492157097719605768227 4121Card #7391,7.35,debit,Rental Car & Taxi,50 Platinum Visa
4/13/2017,Vanguard,ACH Withdrawal VANGUARD BUYTYPE: INVESTMENT ID: VMC PURCO: VANGUARD BUY,75,debit,Roth IRA contributio,88 Totally Green Checking
4/17/2017,Transfer to 88 Totally Green Checking,Home Banking Withdrawal To Share 88,255,debit,Transfer,28 Insured Money Management Acct
4/17/2017,Transfer to 50 Platinum Visa,Home Banking Withdrawal To Loan 50,250,debit,Credit Card Payment,88 Totally Green Checking
4/19/2017,Vanguard,ACH Withdrawal VANGUARD,0.96,debit,Financial,JOINT CASHBACK CHECKING
4/19/2017,7-Eleven,POS Withdrawal #711000906343POS 7-ELEVEN 918 E GRAND RIVER US EASTLANSING MICard #0600,11.69,debit,Fast Food,88 Totally Green Checking
4/22/2017,Advance Bb Nrdc,Credit Card Advance BB *NRDC 212-727-2700 NYDate 04/21/17 24055237112026956943619 8398Card #7391,10,debit,Charity,50 Platinum Visa
4/24/2017,Advance East Lansing,Credit Card Advance EAST LANSING PARKING EAST LANSING MIDate 04/22/17 24071057114330173638220 9399Card #7391,5,debit,Service & Parts,50 Platinum Visa
4/25/2017,Msu Federal Cu,ACH Withdrawal MSU FEDERAL CU,462.21,debit,Credit Card Payment,Discover Savings
4/25/2017,Bubble Island Inc,Credit Card Advance SQ *BUBBLE ISLAND INC - East Lansing MIDate 04/24/17 24692167115000441317585 5812Card #7391,9.59,debit,Restaurants,50 Platinum Visa
4/26/2017,Advance Compost Katie,Credit Card Advance COMPOST KATIE LLC 517-575-1522 MIDate 04/25/17 24765017116200000032389 4900Card #7391,15,debit,Credit Card Payment,50 Platinum Visa
4/27/2017,Vanguard,ACH Withdrawal VANGUARD BUY,75,debit,Financial,JOINT CASHBACK CHECKING
5/2/2017,Mi St Univ,ACH Withdrawal MI. ST. UNIV.TYPE: MSU ACH ID: XXXXXXXXXXCO: MI. ST. UNIV.,2369,debit,Education,28 Insured Money Management Acct
5/4/2017,Michigan State University,ACH Withdrawal MICHIGAN STATE UNIVERSITY FCU,1297.17,debit,Transfer,Discover Savings
5/4/2017,Transfer to 50 Platinum Visa,Home Banking Withdrawal To Loan 50,29.59,debit,Credit Card Payment,88 Totally Green Checking
5/5/2017,Transfer to 08 Spartan Saver,Home Banking Withdrawal To Share 08,1229.29,debit,Transfer,28 Insured Money Management Acct
5/8/2017,Transfer to Discover,ACH Withdrawal DISCOVERTYPE: E-PAYMENT ID: XXXXXXXXXXCO: DISCOVER,239.24,debit,Credit Card Payment,08 Spartan Saver
5/9/2017,Uber.com,Credit Card Advance UBER MAY08 CS3OU HELP.UBER.COM CADate 05/08/17 24492157128719410144930 4121Card #7391,12.04,debit,Rental Car & Taxi,50 Platinum Visa
5/11/2017,Vanguard,ACH Withdrawal VANGUARD BUYTYPE: INVESTMENT ID: VMC PURCO: VANGUARD BUY,75,debit,Roth IRA contributio,88 Totally Green Checking
5/12/2017,Michigan State University,ACH Withdrawal MICHIGAN STATE UNIVERSITY FCU,223.91,debit,Transfer,Discover Savings
5/15/2017,Check 1012,Draft Withdrawal 001012,2269,debit,Reimbursement,88 Totally Green Checking
5/15/2017,Transfer to 50 Platinum Visa,Home Banking Withdrawal To Loan 50,12.04,debit,Credit Card Payment,88 Totally Green Checking
5/15/2017,Transfer to Discover,ACH Withdrawal DISCOVERTYPE: E-PAYMENT ID: XXXXXXXXXXCO: DISCOVER,730.85,debit,Credit Card Payment,08 Spartan Saver
5/16/2017,Michigan State University,ACH Withdrawal MICHIGAN STATE UNIVERSITY FCU,75,debit,Transfer,JOINT CASHBACK CHECKING
5/16/2017,Michigan State University,ACH Withdrawal MICHIGAN STATE UNIVERSITY FCU,75,debit,Transfer,JOINT CASHBACK CHECKING
5/16/2017,Michigan State University,ACH Withdrawal MICHIGAN STATE UNIVERSITY FCU,75,debit,Transfer,JOINT CASHBACK CHECKING
5/16/2017,Michigan State University,ACH Withdrawal MICHIGAN STATE UNIVERSITY FCU,75,debit,Transfer,JOINT CASHBACK CHECKING
5/16/2017,Transfer to 28 Insured Money Management Acct,ACH Withdrawal MICHIGAN STATE UNIVERSITY FCU,75,debit,Transfer,JOINT CASHBACK CHECKING
5/16/2017,Transfer to 88 Totally Green Checking,Home Banking Withdrawal To Share 88,1172,debit,Transfer,08 Spartan Saver
5/17/2017,135 Kedzie Cleaning Fee,Draft Withdrawal 001014,160,debit,Mortgage & Rent,88 Totally Green Checking
5/17/2017,135 Kedzie Security Deposit,Draft Withdrawal 001013,1012,debit,Mortgage & Rent,88 Totally Green Checking
5/19/2017,Transfer to 08 Spartan Saver,Home Banking Withdrawal To Share 08,467.51,debit,Transfer,28 Insured Money Management Acct
5/20/2017,McDonald's,Credit Card Advance MCDONALD'S F2291 ROYAL OAK MIDate 05/19/17 24427337139720070090715 5814Card #7391,9.88,debit,Fast Food,50 Platinum Visa
5/21/2017,Uber.com,Credit Card Advance UBER MAY20 BTEPA HELP.UBER.COM CADate 05/20/17 24492157141719771133335 4121Card #7391,14.74,debit,Rental Car & Taxi,50 Platinum Visa
5/22/2017,Advance Bb Nrdc,Credit Card Advance BB *NRDC 212-727-2700 NYDate 05/21/17 24055237142026943957486 8398Card #7391,10,debit,Credit Card Payment,50 Platinum Visa
5/22/2017,Venmo,ACH Withdrawal VENMOTYPE: PAYMENT ID: XXXXXXXXXX CO: VENMO,62.6,debit,Groceries,28 Insured Money Management Acct
5/23/2017,Fee Withdrawal Overdrawn,Fee Withdrawal Overdrawn ACHIn the amount $500.00 DISCOVER,30,debit,Credit Card Payment,28 Insured Money Management Acct
5/23/2017,Transfer to 50 Platinum Visa,Home Banking Withdrawal To Loan 50,34.62,debit,Credit Card Payment,88 Totally Green Checking
5/25/2017,Withdrawal Share,Withdrawal To Share 28,400,debit,Credit Card Payment,08 Spartan Saver
5/25/2017,Withdrawal Share,Withdrawal To Share 28,400,debit,Credit Card Payment,08 Spartan Saver
5/25/2017,Uber.com,Credit Card Advance UBER MAY24 DGX7T HELP.UBER.COM CADate 05/24/17 24492157145719888337247 4121Card #7391,4.93,debit,Rental Car & Taxi,50 Platinum Visa
5/25/2017,Transfer to Discover,ACH Withdrawal DISCOVERTYPE: RETRY PYMT ID: XXXXXXXXXXCO: DISCOVER,500,debit,Credit Card Payment,28 Insured Money Management Acct
5/25/2017,Transfer to 28 Insured Money Management Acct,Withdrawal To Share 28,400,debit,Transfer,08 Spartan Saver
5/25/2017,Vanguard,ACH Withdrawal VANGUARD BUYTYPE: INVESTMENT ID: VMC PURCO: VANGUARD BUY,75,debit,Roth IRA contributio,88 Totally Green Checking
5/26/2017,Uber.com,Credit Card Advance UBER MAY26 LC6HB HELP.UBER.COM CADate 05/26/17 24492157146719934230940 4121Card #7391,3.99,debit,Rental Car & Taxi,50 Platinum Visa
5/26/2017,Advance Compost Katie,Credit Card Advance COMPOST KATIE LLC 517-575-1522 MIDate 05/25/17 24765017146200000033811 4900Card #7391,15,debit,Credit Card Payment,50 Platinum Visa
5/27/2017,Uber.com,Credit Card Advance UBER MAY26 WV2RD HELP.UBER.COM CADate 05/26/17 24492157146719949397890 4121Card #7391,5.4,debit,Rental Car & Taxi,50 Platinum Visa
5/28/2017,ATM Fee,ATM Withdrawal #714800000052ATM STINSON BEAC-351351 101 CALLE DEL MARSTINSON BEACH CA A351351Card #0600,3,debit,ATM Fee,88 Totally Green Checking
5/28/2017,ATM Withdrawal,ATM Withdrawal #714800000052ATM STINSON BEAC-351351 101 CALLE DEL MARSTINSON BEACH CA A351351Card #0600,40,debit,Cash & ATM,88 Totally Green Checking
5/28/2017,Fee Withdrawal ATM,Fee Withdrawal ATM FeeATM STINSON BEAC-351351 101 CALLE DEL MARSTINSON BEACH CA A351351Card #0600,1,debit,Cash & ATM,88 Totally Green Checking
5/30/2017,Withdrawal Share,Withdrawal To Share 28,100,debit,Credit Card Payment,08 Spartan Saver
5/30/2017,Withdrawal Share,Withdrawal To Share 28,100,debit,Credit Card Payment,08 Spartan Saver
5/30/2017,Venmo,ACH Withdrawal VENMOTYPE: PAYMENT ID: XXXXXXXXXX CO: VENMO,200,debit,Gift,28 Insured Money Management Acct
5/30/2017,Transfer to 28 Insured Money Management Acct,Withdrawal To Share 28,100,debit,Transfer,08 Spartan Saver
5/31/2017,Home Banking Withdrawal,Home Banking Withdrawal To Share 88,200,debit,Transfer,08 Spartan Saver
5/31/2017,Home Banking Withdrawal,Home Banking Withdrawal To Share 88,200,debit,Transfer,08 Spartan Saver
5/31/2017,Transfer to 88 Totally Green Checking,Home Banking Withdrawal To Share 88,200,debit,Transfer,08 Spartan Saver
5/31/2017,Transfer to 50 Platinum Visa,Home Banking Withdrawal To Loan 50,14.32,debit,Credit Card Payment,88 Totally Green Checking
6/2/2017,Uber.com,Credit Card Advance UBER TRIP J52GY HELP.UBER.COM CADate 06/02/17 24492157153719129528124 4121Card #7391,10.58,debit,Rental Car & Taxi,50 Platinum Visa
6/2/2017,Transfer to 50 Platinum Visa,Home Banking Withdrawal To Loan 50,44.54,debit,Credit Card Payment,88 Totally Green Checking
6/2/2017,Wal-Mart,Credit Card Advance WAL-MART #2119 MILPITAS CADate 06/01/17 24226387153091008081427 5411Card #7391,34.01,debit,Shopping,50 Platinum Visa
6/2/2017,Uber.com,Credit Card Advance UBER JUN01 WCOKQ HELP.UBER.COM CADate 06/02/17 24492157153719127079187 4121Card #7391,10.53,debit,Rental Car & Taxi,50 Platinum Visa
6/2/2017,Transfer to Discover,ACH Withdrawal DISCOVERTYPE: E-PAYMENT ID: XXXXXXXXXXCO: DISCOVER,300,debit,Credit Card Payment,88 Totally Green Checking
6/3/2017,Uber.com,Credit Card Advance UBER JUN03 KBSYG HELP.UBER.COM CADate 06/03/17 24492157154719160844280 4121Card #7391,6.88,debit,Rental Car & Taxi,50 Platinum Visa
6/4/2017,Uber.com,Credit Card Advance UBER JUN03 3KLQD HELP.UBER.COM CADate 06/03/17 24492157154719165424492 4121Card #7391,9.99,debit,Rental Car & Taxi,50 Platinum Visa
6/5/2017,Discovertype E Id,ACH Withdrawal DISCOVERTYPE: E-PAYMENT ID: XXXXXXXXXXCO: DISCOVER,314.32,debit,Credit Card Payment,28 Insured Money Management Acct
6/8/2017,Robinhood Crfn Type,ACH Withdrawal ROBINHOOD (CRFN)TYPE: ACH ID: XXXXXXXXXXCO: ROBINHOOD (CRFN),300,debit,Investments,28 Insured Money Management Acct
6/8/2017,Robinhood Crfn Type,ACH Withdrawal ROBINHOOD (CRFN)TYPE: ACH ID: XXXXXXXXXXCO: ROBINHOOD (CRFN),0.26,debit,Investments,28 Insured Money Management Acct
6/8/2017,Robinhood Crfn Type,ACH Withdrawal ROBINHOOD (CRFN)TYPE: ACH ID: XXXXXXXXXXCO: ROBINHOOD (CRFN),0.27,debit,Investments,28 Insured Money Management Acct
6/8/2017,Vanguard,ACH Withdrawal VANGUARD BUYTYPE: INVESTMENT ID: VMC PURCO: VANGUARD BUY,75,debit,Roth IRA contributio,88 Totally Green Checking
6/9/2017,Transfer to 50 Platinum Visa,Home Banking Withdrawal To Loan 50,27.45,debit,Credit Card Payment,88 Totally Green Checking
6/12/2017,Steam Games,Credit Card Advance STEAMGAMES.COM425952298 425-9522985 WADate 06/12/17 24412897163018018690921 7994Card #7391,4.49,debit,Entertainment,50 Platinum Visa
6/13/2017,Advance Spirit Airl,Credit Card Advance SPIRIT AIRL 48701525601 800-7727117 FLDate 06/12/17 24717057164871644451478 3260Card #7391,336.38,debit,Credit Card Payment,50 Platinum Visa
6/13/2017,Robinhood Crfn Type,ACH Withdrawal ROBINHOOD (CRFN)TYPE: ACH ID: XXXXXXXXXXCO: ROBINHOOD (CRFN),0.09,debit,Investments,88 Totally Green Checking
6/13/2017,Robinhood Crfn Type,ACH Withdrawal ROBINHOOD (CRFN)TYPE: ACH ID: XXXXXXXXXXCO: ROBINHOOD (CRFN),0.27,debit,Investments,88 Totally Green Checking
6/14/2017,Uber.com,Credit Card Advance UBER JUN14 2H5DM HELP.UBER.COM CADate 06/14/17 24492157165719509036066 4121Card #7391,4.07,debit,Rental Car & Taxi,50 Platinum Visa
6/15/2017,Uber.com,Credit Card Advance UBER JUN15 WDNPT HELP.UBER.COM CADate 06/15/17 24492157166719537677336 4121Card #7391,4.16,debit,Rental Car & Taxi,50 Platinum Visa
6/15/2017,Uber.com,Credit Card Advance UBER TECHNOLOGIES INC 866-576-1039 CADate 06/15/17 24692167166100590689434 4121Card #7391,4.1,debit,Rental Car & Taxi,50 Platinum Visa
6/16/2017,Robinhood Crfn Type,ACH Withdrawal ROBINHOOD (CRFN)TYPE: ACH ID: XXXXXXXXXXCO: ROBINHOOD (CRFN),75,debit,Investments,88 Totally Green Checking
6/16/2017,Uber.com,Credit Card Advance UBER JUN16 T2BF6 HELP.UBER.COM CADate 06/16/17 24492157167719570403839 4121Card #7391,3.99,debit,Rental Car & Taxi,50 Platinum Visa
6/16/2017,Uber.com,Credit Card Advance UBER JUN15 T7DUL HELP.UBER.COM CADate 06/15/17 24492157167719550450438 4121Card #7391,4.5,debit,Rental Car & Taxi,50 Platinum Visa
6/18/2017,Chipotle,Credit Card Advance CHIPOTLE 2149 SANTA CLARA CADate 06/17/17 24431067169286088800966 5814Card #7391,8.99,debit,Fast Food,50 Platinum Visa
6/18/2017,Transfer to 50 Platinum Visa,Home Banking Withdrawal To Loan 50,370.68,debit,Credit Card Payment,28 Insured Money Management Acct
6/19/2017,Discovertype E Id,ACH Withdrawal DISCOVERTYPE: E-PAYMENT ID: XXXXXXXXXXCO: DISCOVER,128.59,debit,Credit Card Payment,28 Insured Money Management Acct
6/19/2017,Venmo,ACH Withdrawal VENMOTYPE: PAYMENT ID: XXXXXXXXXX CO: VENMO,7.5,debit,Gift,28 Insured Money Management Acct
6/20/2017,Uber.com,Credit Card Advance UBER JUN20 J7ESD HELP.UBER.COM CADate 06/20/17 24492157171719690378584 4121Card #7391,4.13,debit,Rental Car & Taxi,50 Platinum Visa
6/21/2017,Uber.com,Credit Card Advance UBER JUN21 DRHJA HELP.UBER.COM CADate 06/21/17 24492157172719724019583 4121Card #7391,3.99,debit,Rental Car & Taxi,50 Platinum Visa
6/22/2017,Uber.com,Credit Card Advance UBER TECHNOLOGIES INC 866-576-1039 CADate 06/22/17 24692167173100407623866 4121Card #7391,4.2,debit,Rental Car & Taxi,50 Platinum Visa
6/22/2017,Vanguard,ACH Withdrawal VANGUARD BUYTYPE: INVESTMENT ID: VMC PURCO: VANGUARD BUY,75,debit,Roth IRA contributio,88 Totally Green Checking
6/22/2017,Advance Bb Nrdc,Credit Card Advance BB *NRDC 212-727-2700 NYDate 06/21/17 24055237173026914257496 8398Card #7391,10,debit,Credit Card Payment,50 Platinum Visa
6/23/2017,Uber.com,Credit Card Advance UBER JUN23 XLJNS HELP.UBER.COM CADate 06/23/17 24492157174719782504144 4121Card #7391,4.22,debit,Rental Car & Taxi,50 Platinum Visa
6/24/2017,Venmo,Credit Card Advance VENMO 855-812-4430 NYDate 06/24/17 24493987175602809353422 7399Card #7391,540.75,debit,Transfer,50 Platinum Visa
6/24/2017,Uber.com,Credit Card Advance UBER JUN23 LQWOV HELP.UBER.COM CADate 06/23/17 24492157175719796895404 4121Card #7391,3.99,debit,Rental Car & Taxi,50 Platinum Visa
6/25/2017,Advance Compost Katie,Credit Card Advance COMPOST KATIE LLC 517-575-1522 MIDate 06/25/17 24765017176200000035157 4900Card #7391,15,debit,Credit Card Payment,50 Platinum Visa
6/26/2017,Uber.com,Credit Card Advance UBER TRIP 4A4PL HELP.UBER.COM CADate 06/26/17 24492157177719875640331 4121Card #7391,4.84,debit,Rental Car & Taxi,50 Platinum Visa
6/27/2017,Steam Games,Credit Card Advance STEAMGAMES.COM 425-952-2985 WADate 06/26/17 24224437178104001802198 5816Card #7391,8.22,debit,Entertainment,50 Platinum Visa
6/28/2017,Uber.com,Credit Card Advance UBER JUN28 DJELD HELP.UBER.COM CADate 06/28/17 24492157179719931788858 4121Card #7391,3.99,debit,Rental Car & Taxi,50 Platinum Visa
6/29/2017,Transfer to 50 Platinum Visa,Home Banking Withdrawal To Loan 50,100,debit,Credit Card Payment,88 Totally Green Checking
6/29/2017,Uber.com,Credit Card Advance UBER JUN29 YO2TE HELP.UBER.COM CADate 06/29/17 24492157180719959725714 4121Card #7391,4.15,debit,Rental Car & Taxi,50 Platinum Visa
6/30/2017,Uber.com,Credit Card Advance UBER TRIP ZTDVW HELP.UBER.COM CADate 06/30/17 24492157181719990366162 4121Card #7391,3.99,debit,Rental Car & Taxi,50 Platinum Visa
6/30/2017,Discovertype E Id,ACH Withdrawal DISCOVERTYPE: E-PAYMENT ID: XXXXXXXXXXCO: DISCOVER,518.45,debit,Credit Card Payment,88 Totally Green Checking
7/1/2017,Transfer to 50 Platinum Visa,Home Banking Withdrawal To Loan 50,482.98,debit,Credit Card Payment,28 Insured Money Management Acct
7/1/2017,Transfer to 50 Platinum Visa,Home Banking Withdrawal To Loan 50,13.49,debit,Credit Card Payment,88 Totally Green Checking
7/5/2017,Transfer to 88 Totally Green Checking,Home Banking Withdrawal To Share 88,3000,debit,Transfer,28 Insured Money Management Acct
7/5/2017,Uber.com,Credit Card Advance UBER TECHNOLOGIES INC 866-576-1039 CADate 07/05/17 24692167186100772878090 4121Card #7391,3.99,debit,Rental Car & Taxi,50 Platinum Visa
7/6/2017,Loan to BCC+,Withdrawal Bill PaymentRITA BROWNConfirmation: TRAN#1,3000,debit,Investment,88 Totally Green Checking
7/6/2017,Uber.com,Credit Card Advance UBER TECHNOLOGIES INC 866-576-1039 CADate 07/06/17 24692167187100410269057 4121Card #7391,3.99,debit,Rental Car & Taxi,50 Platinum Visa
7/6/2017,Vanguard,ACH Withdrawal VANGUARD BUYTYPE: INVESTMENT ID: VMC PURCO: VANGUARD BUY,75,debit,Roth IRA contributio,88 Totally Green Checking
7/8/2017,Uber.com,Credit Card Advance UBER JUL07 AHLLZ HELP.UBER.COM CADate 07/07/17 24492157189719219245900 4121Card #7391,3.99,debit,Rental Car & Taxi,50 Platinum Visa
7/8/2017,Groupon,Credit Card Advance GROUPON INC GROUPON.COM ILDate 07/08/17 24692167189100397500670 7299Card #7391,10,debit,Shopping,50 Platinum Visa
7/10/2017,Exxon,Credit Card Advance EXXONMOBIL 99408262 GILROY CADate 07/09/17 24164057191837006659557 5541Card #7391,4.83,debit,Gas & Fuel,50 Platinum Visa
7/11/2017,McDonald's,Credit Card Advance MCDONALD'S F6023 GILROY CADate 07/09/17 24427337191710026360457 5814Card #7391,4.35,debit,Fast Food,50 Platinum Visa
7/14/2017,Transfer to 88 Totally Green Checking,Home Banking Withdrawal To Share 88,650,debit,Transfer,28 Insured Money Management Acct
7/14/2017,Transfer to 50 Platinum Visa,Home Banking Withdrawal To Loan 50,31.15,debit,Credit Card Payment,88 Totally Green Checking
7/16/2017,Groupon,Credit Card Advance GROUPON INC GROUPON.COM ILDate 07/16/17 24692167197100126993337 7299Card #7391,35,debit,Shopping,50 Platinum Visa
7/17/2017,Uber.com,Credit Card Advance UBER JUL17 4N4N3 HELP.UBER.COM CADate 07/17/17 24492157198719522173905 4121Card #7391,9.66,debit,Rental Car & Taxi,50 Platinum Visa
7/17/2017,Discovertype E Id,ACH Withdrawal DISCOVERTYPE: E-PAYMENT ID: XXXXXXXXXXCO: DISCOVER,504.91,debit,Credit Card Payment,88 Totally Green Checking
7/18/2017,Uber.com,Credit Card Advance UBER JUL18 6YJMZ HELP.UBER.COM CADate 07/18/17 24492157199719549337920 4121Card #7391,4.02,debit,Rental Car & Taxi,50 Platinum Visa
7/19/2017,Transfer to 50 Platinum Visa,Home Banking Withdrawal To Loan 50,48.68,debit,Credit Card Payment,88 Totally Green Checking
7/20/2017,Uber.com,Credit Card Advance UBER JUL20 RWL6R HELP.UBER.COM CADate 07/20/17 24492157201719608960717 4121Card #7391,5.7,debit,Rental Car & Taxi,50 Platinum Visa
7/20/2017,Vanguard,ACH Withdrawal VANGUARD BUYTYPE: INVESTMENT ID: VMC PURCO: VANGUARD BUY,75,debit,Roth IRA contributio,88 Totally Green Checking
7/21/2017,Uber.com,Credit Card Advance UBER JUL21 2PQ7S HELP.UBER.COM CADate 07/21/17 24492157202713646932498 4121Card #7391,3.99,debit,Rental Car & Taxi,50 Platinum Visa
7/21/2017,Uber.com,Credit Card Advance UBER JUL20 U2RZY HELP.UBER.COM CADate 07/20/17 24492157202717623545033 4121Card #7391,4.12,debit,Rental Car & Taxi,50 Platinum Visa
7/22/2017,Advance Bb Nrdc,Credit Card Advance BB *NRDC 212-727-2700 NYDate 07/21/17 24055237203026907485041 8398Card #7391,10,debit,Credit Card Payment,50 Platinum Visa
7/26/2017,Transfer to Discover,ACH Withdrawal DISCOVERTYPE: E-PAYMENT ID: XXXXXXXXXXCO: DISCOVER,389.61,debit,Credit Card Payment,28 Insured Money Management Acct
7/27/2017,Uber.com,Credit Card Advance UBER JUL27 D5WSJ HELP.UBER.COM CADate 07/27/17 24492157208719837768215 4121Card #7391,3.99,debit,Rental Car & Taxi,50 Platinum Visa
7/28/2017,Transfer to 50 Platinum Visa,Home Banking Withdrawal To Loan 50,27.8,debit,Credit Card Payment,88 Totally Green Checking
7/28/2017,Uber.com,Credit Card Advance UBER JUL28 4GPGT HELP.UBER.COM CADate 07/28/17 24492157209713871287173 4121Card #7391,4.44,debit,Rental Car & Taxi,50 Platinum Visa
7/31/2017,Uber.com,Credit Card Advance UBER TECHNOLOGIES INC 866-576-1039 CADate 07/31/17 24692167212100377894235 4121Card #7391,4.9,debit,Rental Car & Taxi,50 Platinum Visa
8/1/2017,Uber.com,Credit Card Advance UBER JUL31 6J7OC HELP.UBER.COM CADate 07/31/17 24492157213717983075719 4121Card #7391,3.81,debit,Rental Car & Taxi,50 Platinum Visa
8/1/2017,Transfer to Discover,ACH Withdrawal DISCOVERTYPE: E-PAYMENT ID: XXXXXXXXXXCO: DISCOVER,77.64,debit,Credit Card Payment,28 Insured Money Management Acct
8/2/2017,Uber.com,Credit Card Advance UBER AUG02 BTI67 HELP.UBER.COM CADate 08/02/17 24492157214719038174579 4121Card #7391,4.55,debit,Rental Car & Taxi,50 Platinum Visa
8/2/2017,Transfer to Discover,ACH Withdrawal DISCOVERTYPE: E-PAYMENT ID: XXXXXXXXXXCO: DISCOVER,70.51,debit,Credit Card Payment,88 Totally Green Checking
